,depth,temp
2003-01-12-09-34,50.0,5.9199999999999999
2003-01-12-10-34,50.0,5.9900000000000002
2003-01-12-11-34,50.0,5.9900000000000002
2003-01-12-12-34,50.0,6.0099999999999998
2003-01-12-13-34,50.0,6.0700000000000003
2003-01-12-14-34,50.0,6.0099999999999998
2003-01-12-15-34,50.0,6.0199999999999996
2003-01-12-16-34,50.0,6.04
2003-01-12-17-34,50.0,6.0700000000000003
2003-01-12-18-34,50.0,6.0599999999999996
2003-01-12-19-34,50.0,6.0800000000000001
2003-01-12-20-34,50.0,6.0899999999999999
2003-01-12-21-34,50.0,6.1100000000000003
2003-01-12-22-34,50.0,6.0800000000000001
2003-01-12-23-34,50.0,6.0300000000000002
2003-01-13-00-34,50.0,6.0
2003-01-13-01-34,50.0,5.9800000000000004
2003-01-13-02-34,50.0,5.96
2003-01-13-03-34,50.0,5.96
2003-01-13-04-34,50.0,5.9699999999999998
2003-01-13-05-34,50.0,5.9000000000000004
2003-01-13-06-34,50.0,5.9900000000000002
2003-01-13-07-34,50.0,5.9699999999999998
2003-01-13-08-34,50.0,5.9900000000000002
2003-01-13-09-34,50.0,5.96
2003-01-13-10-34,50.0,5.9900000000000002
2003-01-13-11-34,50.0,5.9900000000000002
2003-01-13-12-34,50.0,5.9199999999999999
2003-01-13-13-34,50.0,5.8099999999999996
2003-01-13-14-34,50.0,5.79
2003-01-13-15-34,50.0,5.79
2003-01-13-16-34,50.0,5.79
2003-01-13-17-34,50.0,5.79
2003-01-13-18-34,50.0,5.7800000000000002
2003-01-13-19-34,50.0,5.7800000000000002
2003-01-13-20-34,50.0,5.8099999999999996
2003-01-13-21-34,50.0,5.8399999999999999
2003-01-13-22-34,50.0,5.96
2003-01-13-23-34,50.0,6.0199999999999996
2003-01-14-00-34,50.0,6.04
2003-01-14-01-34,50.0,6.0499999999999998
2003-01-14-02-34,50.0,6.0499999999999998
2003-01-14-03-34,50.0,6.0700000000000003
2003-01-14-04-34,50.0,6.0899999999999999
2003-01-14-05-34,50.0,5.9699999999999998
2003-01-14-06-34,50.0,6.0199999999999996
2003-01-14-07-34,50.0,5.9800000000000004
2003-01-14-08-34,50.0,5.9900000000000002
2003-01-14-09-34,50.0,6.0300000000000002
2003-01-14-10-34,50.0,6.0800000000000001
2003-01-14-11-34,50.0,6.04
2003-01-14-12-34,50.0,6.0700000000000003
2003-01-14-13-34,50.0,6.0499999999999998
2003-01-14-14-34,50.0,6.04
2003-01-14-15-34,50.0,6.0700000000000003
2003-01-14-16-34,50.0,6.0
2003-01-14-17-34,50.0,6.0099999999999998
2003-01-14-18-34,50.0,5.96
2003-01-14-19-34,50.0,5.9699999999999998
2003-01-14-20-34,50.0,5.9800000000000004
2003-01-14-21-34,50.0,6.0
2003-01-14-22-34,50.0,5.9900000000000002
2003-01-14-23-34,50.0,5.9900000000000002
2003-01-15-00-34,50.0,6.0
2003-01-15-01-34,50.0,5.9900000000000002
2003-01-15-02-34,50.0,5.9800000000000004
2003-01-15-03-34,50.0,6.0
2003-01-15-04-34,50.0,6.0
2003-01-15-05-34,50.0,6.0
2003-01-15-06-34,50.0,6.0300000000000002
2003-01-15-07-34,50.0,5.9400000000000004
